appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,cleaned_title
263820,EvilQuest,2014-02-20,1,Chaosoft Games,Chaosoft Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie;RPG,RPG;Indie;Adventure,31,530,69,74,81,50000-100000,1.59,evilquest
263860,SPACECOM,2014-09-17,1,Flow Combine,11 bit studios,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie;Strategy,Strategy;Indie;Space,17,261,97,139,141,100000-200000,7.99,spacecom
263880,Aqua Kitty - Milk Mine Defender,2014-02-03,1,TIKIPOD;Electric Cafe,TIKIPOD,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Shoot 'Em Up,36,357,49,37,37,20000-50000,4.99,aqua kitty   milk mine defender
263920,Zombie Grinder,2015-10-16,1,TwinDrills,TwinDrills,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Adventure;Indie;RPG;Early Access,Early Access;Action;Adventure,42,217,85,0,0,0-20000,6.19,zombie grinder
263980,Out There Somewhere,2016-03-14,1,MiniBoss,EQGames,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Adventure;Indie,Platformer;Pixel Graphics;Indie,36,6180,459,137,121,500000-1000000,0.79,out there somewhere
264060,Full Bore,2014-05-06,1,Whole Hog Games,Nkidu Games Inc.,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Indie;Adventure;Puzzle,15,154,28,0,0,20000-50000,10.99,full bore
264080,Vangers,2014-04-24,1,K-D Lab,KranX Productions,windows;mac;linux,0,Single-player,Action;Adventure;Indie;Racing,Racing;Action;Adventure,0,199,35,0,0,50000-100000,4.99,vangers
264200,One Finger Death Punch,2014-03-03,1,Silver Dollar Games,Silver Dollar Games,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Casual;Indie,Action;Fast-Paced;Indie,152,14181,256,149,107,500000-1000000,3.99,one finger death punch
264220,Mr. Bree+,2014-05-01,1,TawStudio Entertainment,TawStudio Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats,Action;Adventure;Indie,Indie;Adventure;Action,43,192,28,0,0,20000-50000,1.99,mr  bree
264240,CONSORTIUM,2014-01-08,1,Interdimensional Games Inc,Interdimensional Games Inc,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG,RPG;Sci-fi;Adventure,39,1026,396,151,142,200000-500000,6.99,consortium
264280,99 Levels To Hell,2014-02-19,1,Zaxis Games;B-evil,Zaxis Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Indie,Rogue-like;Indie;Platformer,22,346,208,157,157,50000-100000,3.99,99 levels to hell
264300,Guns n Zombies,2014-10-30,1,Krealit,Krealit,windows;mac,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG,Action;Zombies;RPG,42,668,283,64,101,100000-200000,5.59,guns n zombies
264320,Captain Morgane and the Golden Turtle,2014-01-03,1,WizarBox,Reef Entertainment,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Point & Click,0,83,53,0,0,20000-50000,3.99,captain morgane and the golden turtle
264340,Major Mayhem,2014-02-24,1,Rocket Jump,Rocket Jump,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie,Action;Indie;Casual,100,217,42,250,250,20000-50000,3.99,major mayhem
264380,Narcissu 1st & 2nd,2015-04-24,1,stage-nana,Sekai Project,windows;mac;linux,0,Single-player;Steam Achievements,Indie,Visual Novel;Anime;Free to Play,5,2854,169,5,10,200000-500000,0.0,narcissu 1st   2nd
264540,Platformines,2014-03-28,1,Magiko Gaming,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Platformer;Indie,20,189,95,679,679,100000-200000,6.99,platformines
264710,Subnautica,2018-01-23,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,Adventure;Indie,Survival;Open World;Exploration,17,90155,5413,1446,937,2000000-5000000,19.49,subnautica
264730,Deadly 30,2014-01-08,1,Ignatus Zuk and Gonzalo Villagomez,Headup,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie,Action;Indie;Zombies,25,1105,361,143,181,100000-200000,3.99,deadly 30
265300,Lords Of The Fallen™,2014-10-28,1,CI Games;Deck 13,CI Games,windows,16,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;RPG,Souls-like;RPG;Action,56,7393,4963,456,265,500000-1000000,23.79,lords of the fallen
265330,Gomo,2013-12-06,1,Fishcow Studio,Daedalic Entertainment,windows;mac,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0,921,306,108,108,100000-200000,3.99,gomo
265380,Grimind,2014-02-13,1,Paweł Mogiła,Forever Entertainment S. A.,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Indie;Platformer;Adventure,15,163,78,214,273,100000-200000,6.99,grimind
265590,The Red Solstice,2015-07-09,1,Ironward,Nkidu Games Inc.,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG;Strategy,Action;RPG;Co-op,73,1476,535,243,285,1000000-2000000,7.19,the red solstice
265610,Epic Battle Fantasy 4,2014-02-25,1,Matt Roszak,Matt Roszak,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;RPG,RPG;Turn-Based;Adventure,104,2180,80,384,384,200000-500000,8.99,epic battle fantasy 4
265630,Fistful of Frags,2014-05-09,1,Fistful of Frags Team,Fistful of Frags Team,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Stats;Steam Leaderboards;Includes level editor;Includes Source SDK,Action;Free to Play;Indie,Free to Play;Multiplayer;FPS,17,23803,2399,3079,86,2000000-5000000,0.0,fistful of frags
265670,Imagine Me,2014-12-09,1,KinifiGames LLC,KinifiGames LLC,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Includes level editor,Adventure;Indie,Indie;Adventure;Platformer,12,142,298,90,90,50000-100000,1.99,imagine me
265690,NaissanceE,2014-02-13,1,Limasse Five,Limasse Five,windows,0,Single-player,Adventure;Indie,Exploration;Indie;Adventure,0,1064,305,8,9,100000-200000,0.0,naissancee
265750,Secret Ponchos,2015-10-13,1,Switchblade Monkeys Entertainment,Switchblade Monkeys Entertainment,windows,0,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Indie,Western;Action;Indie,111,970,380,0,0,50000-100000,10.99,secret ponchos
265770,Cannons Lasers Rockets,2014-08-25,1,Net Games Laboratory,Net Games Distribution LTD,windows;mac;linux,0,Multi-player;Steam Achievements;Steam Leaderboards,Action;Free to Play;Indie;Massively Multiplayer,Free to Play;Space;Action,6,133,401,1,1,200000-500000,0.0,cannons lasers rockets
265830,Monochroma,2014-05-28,1,Nowhere Studios,Nowhere Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Indie;Adventure;Puzzle,5,452,151,89,89,100000-200000,14.99,monochroma
265890,Hexcells,2014-02-19,1,Matthew Brown,Matthew Brown,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Puzzle;Indie;Casual,6,3482,129,49,49,200000-500000,1.99,hexcells
265930,Goat Simulator,2014-04-01,1,Coffee Stain Studios,Coffee Stain Publishing,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Indie;Simulation,Simulation;Funny;Comedy,127,45892,5779,309,149,2000000-5000000,7.19,goat simulator
265950,Ether One,2014-03-25,1,White Paper Games,White Paper Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Indie,Adventure;Indie;First-Person,12,272,92,0,0,50000-100000,14.99,ether one
265990,Rogue's Tale,2014-03-28,1,Epixx.org,Epixx.org,windows;linux,0,Single-player;Steam Achievements;Includes level editor,Indie;RPG,Rogue-like;RPG;Indie,130,213,98,0,0,20000-50000,3.99,rogue s tale
266010,LYNE,2014-03-17,1,Thomas Bowker,Thomas Bowker,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie,Puzzle;Indie;Casual,33,6860,263,176,233,200000-500000,1.99,lyne
266030,DRAKERZ-Confrontation,2014-05-19,1,Peoleo Entertainment,Peoleo Entertainment,windows,0,Single-player;Multi-player,Free to Play;Indie;Strategy,Free to Play;Strategy;Card Game,0,130,125,12,12,100000-200000,0.0,drakerz confrontation
266110,Tower of Guns,2014-03-04,1,Terrible Posture Games,Terrible Posture Games LLC,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,FPS;Rogue-like;Indie,17,801,173,740,1301,200000-500000,10.99,tower of guns
266130,Breach & Clear,2014-03-21,1,Mighty Rabbit Studios;Gun.,Good Shepherd Entertainment;Devolver Digital,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;RPG;Simulation;Strategy,Strategy;Tactical;Turn-Based Strategy,64,1626,349,67,67,200000-500000,10.99,breach   clear
266170,Windforge,2014-03-11,1,Snowed In Studios,Snowed In Studios,windows,0,Single-player;Steam Achievements,Action;Indie;RPG,Indie;RPG;Sandbox,25,357,172,2075,2075,50000-100000,6.99,windforge
266210,One Way Heroics,2014-02-28,1,Smoking WOLF,AGM PLAYISM,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Indie;RPG,RPG;Rogue-like;Indie,59,3349,199,547,718,200000-500000,2.29,one way heroics
266230,Last Dream,2014-03-13,1,White Giant RPG Studios,White Giant RPG Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Indie;RPG,RPG;Indie;RPGMaker,236,368,67,0,0,50000-100000,6.99,last dream
266310,GameGuru,2015-05-19,1,The Game Creators,The Game Creators,windows,0,Single-player;Multi-player;Includes level editor,Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Game Development,Game Development;Software;Design & Illustration,0,908,323,83,83,200000-500000,14.99,gameguru
266390,Farm for your Life,2014-06-16,1,Hammer Labs,Hammer Labs,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie;Simulation;Strategy,Simulation;Casual;Strategy,26,431,105,467,467,50000-100000,6.99,farm for your life
266410,iRacing,2015-01-12,1,iRacing.com Motorsport Simulations;iRacing,iRacing.com Motorsport Simulations;iRacing,windows,0,Single-player;Multi-player;MMO;VR Support;Partial Controller Support,Massively Multiplayer;Racing;Simulation;Sports,Racing;Simulation;Sports,0,747,140,4,4,20000-50000,7.99,iracing
266430,Anarchy Arcade,2014-09-03,1,Elijah Newman-Gomez,Elijah Newman-Gomez,windows,0,Single-player;Multi-player;Steam Achievements;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor,Casual;Free to Play;Indie;Early Access,Early Access;Free to Play;Sandbox,27,1581,701,42,25,500000-1000000,0.0,anarchy arcade
266510,Hand of Fate,2015-02-17,1,Defiant Development,Defiant Development,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Card Game;RPG;Action,53,8045,794,371,297,500000-1000000,14.99,hand of fate
267060,Gravity Badgers,2013-11-28,1,Wales Interactive,Wales Interactive,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,18,262,160,431,431,50000-100000,3.99,gravity badgers
267340,Beware Planet Earth,2014-04-11,1,Lightmare Studio,BANDAI NAMCO Entertainement,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Tower Defense;Strategy;Indie,33,177,80,0,0,50000-100000,6.99,beware planet earth
267360,MURI,2013-12-06,1,Ludosity;Remar Games,Ludosity,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Action,Action;Platformer;Retro,0,408,39,142,142,20000-50000,3.99,muri
267600,Airport Simulator 2014,2013-12-19,1,United Independent Entertainment GmbH,United Independent Entertainment GmbH,windows,0,Single-player;Steam Cloud,Simulation,Simulation;Management;Singleplayer,0,143,803,0,0,50000-100000,6.99,airport simulator 2014
267610,Woodcutter Simulator 2013,2013-12-19,1,United Independent Entertainment GmbH,United Independent Entertainment GmbH,windows,0,Single-player;Multi-player;Steam Cloud,Simulation,Simulation,0,145,386,34,34,50000-100000,5.79,woodcutter simulator 2013
267670,Realms of Arkania 1 - Blade of Destiny Classic,2014-01-10,1,attic Entertainment Software GmbH,United Independent Entertainment GmbH,windows;mac;linux,0,Single-player;Steam Trading Cards,RPG,RPG;Classic;Fantasy,0,43,23,0,0,20000-50000,2.49,realms of arkania 1   blade of destiny classic
267900,Guilty Gear Isuka,2014-01-16,1,Arc System Works,Arc System Works,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Fighting;Anime;2D Fighter,0,148,145,147,147,50000-100000,6.99,guilty gear isuka
267920,Gun Metal,2014-01-16,1,Rage Software,Funbox Media Ltd,windows,0,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;Mechs;Robots,0,557,170,213,217,200000-500000,2.09,gun metal
267960,Hyper Fighters,2014-01-23,1,Team 6 Studios,Funbox Media Ltd,windows,0,Single-player,Action,Action;On-Rails Shooter;Shooter,0,96,313,0,0,100000-200000,2.09,hyper fighters
268050,The Evil Within,2014-10-13,1,Tango Gameworks,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action,Horror;Survival Horror;Psychological Horror,71,10581,2363,635,898,500000-1000000,14.99,the evil within
268200,Antisquad,2014-05-22,1,InsGames,INSGAMES LIMITED,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure;Strategy,Strategy;Turn-Based;Action,178,149,122,162,162,50000-100000,4.99,antisquad
268220,Meltdown,2014-06-05,1,Phenomenon Games,Phenomenon Games,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Arcade,28,637,105,0,0,50000-100000,3.49,meltdown
268240,Mechanic Escape,2014-04-15,1,Slak Games,Plug In Digital,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie,Indie;Action;Adventure,33,656,99,283,310,100000-200000,4.49,mechanic escape
268320,Grapple,2015-03-09,1,Tuesday Society,Midnight City;Majesco Entertainment,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie,Indie;3D Platformer;Puzzle-Platformer,19,259,22,432,432,20000-50000,5.19,grapple
268400,Panzer Corps,2014-03-12,1,Flashback Games;The Lordz Games Studio,Slitherine Ltd.,windows;mac,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Includes level editor,Strategy,Strategy;World War II;Turn-Based Strategy,80,1054,93,0,0,100000-200000,14.99,panzer corps
268420,Aura Kingdom,2014-07-01,1,X-Legend,Aeria Games,windows,0,MMO;Steam Trading Cards,Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Anime;Free to Play;MMORPG,0,5666,1533,485,92,2000000-5000000,0.0,aura kingdom
268540,The Whispered World Special Edition,2014-05-06,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,Adventure;Indie,Adventure;Point & Click;Indie,20,777,267,132,148,200000-500000,16.99,the whispered world special edition
268650,From the Depths,2014-08-07,1,Brilliant Skies Ltd.,Brilliant Skies Ltd.,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Captions available;Steam Workshop;Steam Leaderboards;Includes level editor,Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,Early Access;Sandbox;Building,0,3965,525,716,491,200000-500000,11.39,from the depths
268750,Magicite,2014-06-09,1,SmashGames,SmashGames,windows;mac;linux,0,Single-player;Multi-player,Action;Adventure;Indie;RPG,Indie;RPG;Rogue-like,0,5488,936,450,653,200000-500000,7.19,magicite
268870,Satellite Reign,2015-08-27,1,5 Lives Studios,5 Lives Studios,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Cyberpunk;Strategy;Sci-fi,40,2615,1195,233,245,500000-1000000,22.99,satellite reign
269010,Science Girls,2014-03-20,1,Spiky Caterpillar,Hanako Games,windows;mac;linux,0,Single-player;Steam Achievements,Indie;RPG,Anime;RPG;Indie,7,93,37,64,64,20000-50000,3.99,science girls
269030,The Yawhg,2014-02-27,1,Damian Sommer;Emily Carroll,Damian Sommer,windows,0,Single-player;Shared/Split Screen;Full controller support;Steam Trading Cards,Indie;RPG,Choose Your Own Adventure;Indie;Local Co-Op,0,912,224,0,0,50000-100000,6.99,the yawhg
269050,Year Walk,2014-03-06,1,Simogo,Simogo,windows;mac,0,Single-player;Steam Achievements,Adventure;Indie,Horror;Indie;Adventure,10,1519,147,37,37,100000-200000,4.79,year walk
269110,Super Motherload,2014-04-04,1,XGen Studios,XGen Studios,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,Indie;Mining;Local Co-Op,9,329,96,0,0,50000-100000,10.99,super motherload
269150,Luxuria Superbia,2014-01-28,1,Tale of Tales,Tale of Tales,windows;mac;linux,0,Single-player;Shared/Split Screen;Full controller support;Partial Controller Support,Action;Casual;Indie;Simulation,Indie;Casual;Simulation,0,167,62,0,0,20000-50000,4.99,luxuria superbia
269210,Hero Siege,2014-01-29,1,Elias Viglione;Jussi Kukkonen,Panic Art Studios,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;Massively Multiplayer;RPG,RPG;Rogue-like;Indie,57,14929,4023,803,550,1000000-2000000,6.99,hero siege
269250,WORLD END ECONOMiCA episode.01,2014-06-17,1,Spicy Tails,Sekai Project,windows;mac;linux,0,Single-player;Steam Trading Cards,Indie,Visual Novel;Anime;Indie,0,461,80,732,732,100000-200000,9.99,world end economica episode 01
269270,LOVE,2014-02-07,1,Fred Wood,Fred Wood,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards;Includes level editor,Action;Indie,Platformer;Indie;Pixel Graphics,19,941,98,291,291,50000-100000,2.09,love
269330,Chronology,2014-05-12,1,Bedtime Digital Games,Bedtime Digital Games,windows,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Platformer,0,412,59,192,192,100000-200000,3.99,chronology
269370,Reaper - Tale of a Pale Swordsman,2014-02-07,1,Hexage,Hexage,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Action;Indie;RPG,10,255,126,180,191,50000-100000,3.99,reaper   tale of a pale swordsman
269490,Bardbarian,2014-04-01,1,TreeFortress Games,TreeFortress Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie;RPG;Strategy,Indie;Strategy;Tower Defense,22,1232,159,354,404,100000-200000,5.59,bardbarian
269610,Arcane Worlds,2014-01-28,1,Ranmantaru Games,Ranmantaru Games,windows,0,Single-player,Action;Adventure;Early Access;Indie;Strategy,Early Access;Indie;Adventure,0,111,93,0,0,20000-50000,6.99,arcane worlds
269650,Dex,2015-05-07,1,Dreadlocks Ltd.,Dreadlocks Ltd.;Techland;WhisperGames,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available,Action;Adventure;Indie;RPG,Cyberpunk;RPG;2D,32,1708,251,0,0,200000-500000,14.99,dex
269730,The Golf Club,2014-08-19,1,HB Studios,HB Studios,windows,0,Single-player;Multi-player;Partial Controller Support;Includes level editor,Simulation;Sports,Sports;Golf;Simulation,24,638,375,0,0,20000-50000,22.99,the golf club
269770,Secrets of Grindea,2015-07-13,1,Pixel Ferrets,Pixel Ferrets,windows,0,Single-player;Online Multi-Player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG;Early Access,Early Access;RPG;Adventure,28,3642,254,2343,4564,100000-200000,10.99,secrets of grindea
269890,AR-K,2014-07-21,1,GATO STUDIO,GATO STUDIO,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Female Protagonist,12,250,177,54,54,50000-100000,5.79,ar k
270050,Quest of Dungeons,2014-03-25,1,David Amador,David Amador,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Adventure;Indie;RPG,Rogue-like;RPG;Indie,25,459,134,0,0,50000-100000,3.99,quest of dungeons
270110,Block Story™,2015-12-10,1,"MindBlocks Studio, LLC","MindBlocks Studio, LLC",windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie;RPG,RPG;Adventure;Sandbox,35,295,157,0,0,20000-50000,1.99,block story
270150,RUNNING WITH RIFLES,2015-04-02,1,Osumia Games,Osumia Games,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop,Action;Indie,Action;Tactical;Shooter,45,5254,745,97,135,200000-500000,10.99,running with rifles
270170,Depression Quest,2014-08-11,1,The Quinnspiracy;Patrick Lindsey;Isaac Schankler,The Quinnspiracy,windows;mac;linux,0,Single-player;Full controller support,Free to Play;Indie;RPG;Simulation,Short;Indie;Free to Play,0,2210,1590,18,18,200000-500000,0.0,depression quest
270190,1HEART,2014-10-13,1,Chicken in The Corn,Chicken in The Corn,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Point & Click,22,104,64,0,0,20000-50000,6.99,1heart
270310,Dominique Pamplemousse,2014-03-11,1,Squinkifer Productions,Squinkifer Productions,windows;mac,0,Single-player;Steam Trading Cards;Captions available,Adventure;Indie,Casual;Indie;Adventure,0,261,96,0,0,20000-50000,0.79,dominique pamplemousse
270450,Robot Roller-Derby Disco Dodgeball,2015-02-19,1,Erik Asmussen,82 Apps,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Sports,Multiplayer;FPS;Fast-Paced,76,3155,259,303,406,200000-500000,6.99,robot roller derby disco dodgeball
270550,Yet Another Zombie Defense,2014-03-28,1,Awesome Games Studio,Awesome Games Studio,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Casual;Indie;Strategy,Zombies;Survival;Multiplayer,18,9900,1529,192,223,2000000-5000000,0.0,yet another zombie defense
270750,Realms of Arkania 2 - Star Trail Classic,2014-01-10,1,attic Entertainment Software GmbH,United Independent Entertainment GmbH,windows;mac;linux,0,Single-player;Steam Trading Cards,RPG,RPG;Classic;Turn-Based,0,26,6,0,0,20000-50000,2.49,realms of arkania 2   star trail classic
270760,Realms of Arkania 3 - Shadows over Riva Classic,2014-01-10,1,attic Entertainment Software GmbH,United Independent Entertainment GmbH,windows;mac;linux,0,Single-player;Steam Trading Cards,RPG,RPG;Fantasy;Classic,0,33,6,0,0,20000-50000,2.49,realms of arkania 3   shadows over riva classic
270770,Etherlords,2014-02-13,1,Nival,Nival,windows,0,Single-player;Multi-player,Strategy,Strategy;Turn-Based Strategy;RPG,0,60,87,19,19,100000-200000,3.99,etherlords
270790,Etherlords II,2014-02-13,1,Nival,Nival,windows,0,Single-player;Multi-player,Adventure;Indie;RPG;Strategy,RPG;Card Game;Turn-Based Strategy,0,190,46,0,0,100000-200000,3.99,etherlords ii
270850,Car Mechanic Simulator 2014,2014-01-24,1,PlayWay S.A.;Red Dot Games,PlayWay S.A.,windows;mac,0,Single-player,Simulation,Simulation;Singleplayer;Education,0,3333,743,128,176,500000-1000000,4.99,car mechanic simulator 2014
271360,Industry Giant 2,2015-08-14,1,"Fancy Bytes, Reactor",Toplitz Productions,windows,0,Single-player;Steam Achievements;Steam Cloud,Simulation;Strategy,Strategy;Simulation;Economy,9,368,87,0,0,50000-100000,6.99,industry giant 2
271570,Space Farmers,2014-04-17,1,BumpkinBrothers,KISS ltd,windows;mac;linux,0,Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Indie;Action;Co-op,23,1288,445,96,100,200000-500000,7.19,space farmers
271590,Grand Theft Auto V,2015-04-13,1,Rockstar North,Rockstar Games,windows,18,Single-player;Multi-player;Steam Achievements;Full controller support,Action;Adventure,Open World;Action;Multiplayer,77,329061,139308,9837,4834,10000000-20000000,24.99,grand theft auto v
271640,Humanity Asset,2014-02-20,1,Browny Application,KISS ltd,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Stats,Action;Indie,Action;Indie;Platformer,38,148,314,258,273,200000-500000,1.69,humanity asset
271670,10 Second Ninja,2014-03-05,1,Four Circle Interactive,Mastertronic,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Platformer,30,588,97,150,150,50000-100000,1.59,10 second ninja
271730,Light,2014-07-14,1,Just A Pixel Ltd.,Team17 Digital Ltd,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;Strategy,Indie;Action;Strategy,13,192,138,231,231,50000-100000,9.99,light
